"","domain","phylum","class","order","family","genus","species"
"1","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",NA,NA
"2","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",NA,NA,NA
"3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"5","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae",NA,NA
"6","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"7","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"8","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"9","Collapsed","Collapsed","Collapsed","Collapsed","Collapsed","Collapsed","Collapsed"
"10","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"11","Bacteria",NA,NA,NA,NA,NA,NA
"12","Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA,NA
"13","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"14","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae",NA,NA
"15","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,NA
"16","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae",NA,NA
"17","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA
"18","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA
"19","Bacteria","Tenericutes","Mollicutes","Mollicutes RF39",NA,NA,NA
"20","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae",NA,NA
"21","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA
"22","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"23","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XI_2II",NA,NA
"24","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae",NA,NA
"25","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"26","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Helicobacteraceae",NA,NA
